Name,RA,DECL,Equinox,Vmag,Sp.Type,"dist (pc)",star_id,star_id_str
HIP4849,"1  2 24.9","5  3 44",2000,8.16,K2,21.40,76,star76
HIP4856,"1  2 38.1","71 40 41",2000,9.98,M3.5e,8.14,77,star77
HIP4872,"1  2 40.5","62 20 43",2000,9.56,K5V...,10.00,78,star78
HIP4907,"1  2 57.8","69 13 35",2000,7.67,G5,25.80,79,star79
HIP5027,"1  4 24.1","-25 36 23",2000,9.78,K4/K5V,25.60,80,star80
HIP5110,"1  5 29.9","15 23 21",2000,8.66,K2V,26.50,81,star81
HIP5247,"1  7 11.9","63 56 33",2000,9.00,K7V,15.00,82,star82
HIP5286,"1  7 37.9","22 57 10",2000,8.41,K4V,20.70,83,star83
HIP5310,"1  7 57.2","20 44 19",2000,5.56,A3V,49.40,84,star84
HIP5346,"1  8 21.9","5 38 56",2000,5.51,F0III-I,35.90,85,star85
HIP5336,"1  8 22.7","54 54 47",2000,5.17,G5Vp,7.55,86,star86
HIP5364,"1  8 35.6","-10 10 58",2000,3.46,K2III,36.00,87,star87
HIP5369,"1  8 40.2","17 14 24",2000,10.50,K6,27.70,88,star88
HIP5496,"1 10 23.9","-67 26 32",2000,9.80,K,8.13,89,star89
HIP5521,"1 10 41.6","42 55 51",2000,7.66,K0,26.70,90,star90
HIP5542,"1 11 6.58","55  8 59",2000,4.34,A7Vvar,42.10,91,star91
GJ54.1,"1 12 31.9","-16 59 45",2000,12.10,M4.0V,3.71,92,star92
HIP5663,"1 12 46.2","-25 14  7",2000,9.55,K4V,22.00,93,star93
HIP5799,"1 14 24.1","-7 55 17",2000,5.14,F5V,24.30,94,star94
HIP5842,"1 15 2.22","-68 49  6",2000,7.22,K2V,21.10,95,star95
HIP5862,"1 15 12.1","-45 31 51",2000,4.97,F8V,15.00,96,star96
HIP5896,"1 15 47.3","-68 52 31",2000,4.25,F6IV,20.40,97,star97
HIP5938,"1 16 24.3","-12  5 49",2000,7.55,K0V,26.50,98,star98
HIP5944,"1 16 29.0","42 56 21",2000,6.59,G0,23.60,99,star99
HIP5957,"1 16 39.8","25 19 51",2000,10.10,K5,22.70,100,star100
HIP6069,"1 17 53.3","5 28 16",2000,11.00,M2V:,15.30,101,star101
HIP6290,"1 20 40.1","57 19 47",2000,10.30,K6V:,18.90,102,star102
HIP6344,"1 21 32.6","80  9  5",2000,9.67,K8,24.10,103,star103
HIP6351,"1 21 36.3","-41 39 30",2000,10.10,K5,16.80,104,star104
HIP6379,"1 21 58.9","76 42 36",2000,7.17,K0,16.80,105,star105
HIP6414,"1 22 23.5","-33 12 55",2000,10.30,,26.90,106,star106
HIP6537,"1 24 1.31","-8 11  3",2000,3.60,K0III,35.10,107,star107
HIP6706,"1 26 15.2","19 10 20",2000,5.35,F2V:var,26.00,108,star108
HIP6748,"1 26 51.5","-13  3 23",2000,5.51,F0V,36.20,109,star109
HIP6813,"1 27 39.9","45 24 22",2000,4.83,F5IV,28.30,110,star110
HIP6917,"1 29 5.41","21 43 20",2000,7.74,K2V,23.10,111,star111
HIP7078,"1 31 14.1","70 15 51",2000,5.82,F6V,29.20,112,star112
HIP7235,"1 33 16.1","-24 10 43",2000,6.97,K0V,19.50,113,star113
HIP7339,"1 34 32.1","68 56 55",2000,6.52,G6V,20.90,114,star114
HIP7387,"1 35 15.5","-58  8 22",2000,6.03,F2V,40.40,115,star115
HIP7513,"1 36 47.6","41 24 13",2000,4.10,F8V,13.40,116,star116
HIP7535,"1 37 5.83","12  8 29",2000,5.54,F0V,33.80,117,star117
HIP7576,"1 37 35.6","-6 45 39",2000,7.66,G5,23.60,118,star118
GJ65A,"1 39 5.01","-17 56 52",2000,12.60,M5.5V,2.67,119,star119
HIP7734,"1 39 36.3","45 52 36",2000,6.60,G5IV,21.30,120,star120
HIP7748,"1 39 46.3","73 42 30",2000,9.81,,27.20,121,star121
HIP7751,"1 39 48.0","-56 11 46",2000,5.76,K0V,8.14,122,star122
HIP7918,"1 41 48.2","42 36 45",2000,4.96,G2V,12.60,123,star123
HIP7981,"1 42 29.4","20 15 55",2000,5.24,K1V,7.46,124,star124
HIP7978,"1 42 29.6","-53 44 28",2000,5.52,F8V,17.30,125,star125
HIP8051,"1 43 19.7","4 19  5",2000,10.90,M2V:,11.20,126,star126
HIP8070,"1 43 39.7","63 49 14",2000,8.42,K5V,13.40,127,star127
GJ71,"1 44 2.19","-15 56  1",2000,3.49,G8.5V,3.65,128,star128
HIP8209,"1 45 38.9","-25  3 10",2000,5.29,F2IV,27.40,129,star129
HIP8275,"1 46 38.7","12 24 41",2000,8.91,K5,23.00,130,star130
HIP8362,"1 47 46.2","63 51  5",2000,5.63,K0V,9.97,131,star131
HIP8486,"1 49 23.2","-10 42 14",2000,6.72,G0,23.00,132,star132
HIP8497,"1 49 34.9","-10 41 12",2000,4.66,F3III,23.60,133,star133
HIP8543,"1 50 7.83","29 27 51",2000,8.06,K1V,26.70,134,star134
HIP8768,"1 52 50.1","-22 26  5",2000,8.89,K5/M0V,11.00,135,star135
HIP8867,"1 54 5.99","66 10 32",2000,8.47,G5,22.10,136,star136
HIP8903,"1 54 38.5","20 48 27",2000,2.64,A5V...,18.20,137,star137
HIP9007,"1 55 58.6","-51 36 27",2000,3.69,G5IV,17.40,138,star138
HIP9044,"1 56 33.4","-60 13 32",2000,8.61,K5V,19.70,139,star139
HIP9085,"1 57 0.58","-51 45 54",2000,6.10,F8V,26.30,140,star140
HIP9094,"1 57 9.20","-10 14 36",2000,6.42,G5,33.90,141,star141
HIP9153,"1 57 55.6","23 35 45",2000,4.79,F0V,40.80,142,star142
HIP9236,"1 58 46.7","-61 34 11",2000,2.86,F0V,21.80,143,star143
HIP9269,"1 59 6.93","33 12 29",2000,7.14,G5,24.50,144,star144
GJ83.1,"2  0 14.4","13  2 39",2000,12.30,M4.0V,4.44,145,star145
HIP9480,"2  1 57.2","70 54 25",2000,4.49,A3IV,35.80,146,star146
HIP9487,"2  2 2.85","2 45 49",2000,3.82,A2,42.60,147,star147
HIP9598,"2  3 25.9","72 25 17",2000,3.95,A2V,49.70,148,star148
HIP9716,"2  4 59.3","-15 40 41",2000,7.79,K0V,25.50,149,star149
HIP9724,"2  5 6.31","-17 36 55",2000,10.10,M3,9.43,150,star150
HIP9727,"2  5 8.09","77 16 52",2000,5.27,F0Vn,33.50,151,star151
HIP9829,"2  6 30.2","24 20  0",2000,6.89,G2V,23.10,152,star152
HIP9884,"2  7 10.6","23 27 42",2000,2.01,K2III,20.20,153,star153
HIP10138,"2 10 29.4","-50 49 14",2000,6.12,K0V,10.90,154,star154
HIP10279,"2 12 19.1","3 34  2",2000,10.00,M3V:,10.30,155,star155
HIP10306,"2 12 48.2","21 12 39",2000,5.23,F5V,30.10,156,star156
HIP10337,"2 13 12.5","-21 11 46",2000,9.84,K7V,23.20,157,star157
HIP10395,"2 13 54.5","-32  2 37",2000,10.30,,12.30,158,star158
HIP10416,"2 14 13.5","-3 38 10",2000,8.55,K2,22.80,159,star159
HIP10542,"2 15 46.0","-18 14 19",2000,7.94,K3V,22.20,160,star160
HIP10617,"2 16 42.0","-30 59 14",2000,12.00,,14.20,161,star161
HIP10644,"2 17 4.71","34 13 23",2000,4.84,G0V,10.80,162,star162
HIP10670,"2 17 18.9","33 50 49",2000,4.03,A1Vnn,36.00,163,star163
HIP10723,"2 18 1.83","1 45 33",2000,5.60,G0.5IV,24.90,164,star164
HIP10798,"2 18 58.2","-25 56 37",2000,6.33,G8V,12.60,165,star165
HIP10812,"2 19 11.9","-36 46 32",2000,11.50,,13.90,166,star166
HIP10925,"2 20 43.2","-39  2  1",2000,8.67,K3/K4V,25.40,167,star167
HIP11000,"2 21 44.7","-6 52 45",2000,9.07,K0,26.70,168,star168
HIP11001,"2 21 44.7","-68 39 33",2000,4.08,A3V,41.40,169,star169
HIP11029,"2 22 1.69","-10 46 40",2000,5.43,F0V,29.80,170,star170
HIP11048,"2 22 14.9","47 52 48",2000,9.40,M2,11.90,171,star171
HIP11090,"2 22 50.1","41 23 45",2000,5.81,F0III-I,47.20,172,star172
HIP11452,"2 27 45.9","4 25 59",2000,8.69,K7V:,16.60,173,star173
HIP11477,"2 28 1.72","-33 48 39",2000,5.13,A2/A3V,46.80,174,star174
HIP11565,"2 29 2.38","-19 58 41",2000,8.78,K4V,18.90,175,star175
HIP11569,"2 29 3.87","67 24  9",2000,4.46,"A5p Sr",43.40,176,star176
HIP11759,"2 31 42.3","-15 16 26",2000,8.67,K2V,26.10,177,star177
HIP11783,"2 32 5.14","-15 14 43",2000,4.74,F5V,25.80,178,star178
HIP11852,"2 32 59.4","-72 41 11",2000,8.84,K4V,22.50,179,star179
HIP11964,"2 34 22.6","-43 47 51",2000,8.89,"K7V com",11.50,180,star180
HIP12097,"2 35 53.5","20 13  9",2000,10.60,M2,13.90,181,star181
HIP12110,"2 36 0.87","-23 31 16",2000,8.34,K3V,21.20,182,star182
HIP12114,"2 36 6.83","6 53 35",2000,5.79,K3V,7.20,183,star183
HIP12158,"2 36 42.1","-3  9 21",2000,8.10,K0,24.30,184,star184
HIP12225,"2 37 24.5","-52 32 35",2000,5.30,A6V,44.40,185,star185
HIP12351,"2 39 1.13","-58 11 13",2000,9.48,M0Ve,16.50,186,star186
HIP12390,"2 39 34.0","-11 52 23",2000,4.83,F5V,27.00,187,star187
HIP12394,"2 39 35.6","-68 16  0",2000,4.12,B9III,47.00,188,star188
HIP12413,"2 39 48.1","-42 53 30",2000,4.74,A2V,39.70,189,star189
HIP12444,"2 40 12.2","-9 27 11",2000,5.79,F6V,21.50,190,star190
HIP12447,"2 40 15.7","6  6 42",2000,6.26,F3V:,39.60,191,star191
HIP12493,"2 40 43.1","1 11 58",2000,9.51,M0,22.30,192,star192
