Name,RA,DECL,Equinox,Vmag,Sp.Type,"dist (pc)",star_id,star_id_str
HIP20635,"4 25 22.2","22 17 37",2000,4.21,A7IV-V,47.00,321,star321
HIP20641,"4 25 25.1","22 11 59",2000,5.27,A7V,44.10,322,star322
HIP20648,"4 25 29.5","17 55 39",2000,4.30,A2IV,45.30,323,star323
HIP20713,"4 26 20.8","15 37  5",2000,4.48,F0V...,47.90,324,star324
HIP20842,"4 28 0.89","21 37 10",2000,5.72,Am,47.90,325,star325
HIP20901,"4 28 50.2","13  2 51",2000,5.02,A7V,49.10,326,star326
HIP20917,"4 29 0.05","21 55 24",2000,8.30,K7V,11.40,327,star327
HIP21029,"4 30 33.7","16 11 38",2000,4.78,A6IV,44.30,328,star328
HIP21036,"4 30 37.4","13 43 27",2000,5.40,F0V,45.70,329,star329
HIP21039,"4 30 39.0","15 41 30",2000,5.47,Am,44.30,330,star330
HIP21223,"4 33 9.31","-36 56 45",2000,8.74,K4V,25.00,331,star331
HIP21248,"4 33 30.4","-29 46  3",2000,4.49,K0III,38.10,332,star332
HIP21272,"4 33 50.3","5 23  1",2000,7.92,K0,26.70,333,star333
HIP21273,"4 33 51.0","14 50 39",2000,4.65,A8V,46.70,334,star334
HIP21284,"4 34 1.30","-43 31 30",2000,8.81,K5V,22.40,335,star335
HIP21402,"4 35 39.3","10  9 38",2000,4.25,A5m,46.10,336,star336
HIP21421,"4 35 55.3","16 30 30",2000,0.87,K5III,19.90,337,star337
HIP21482,"4 36 48.5","27  7 53",2000,8.10,K2,17.80,338,star338
HIP21547,"4 37 36.1","-2 28 25",2000,5.22,F0V,29.70,339,star339
HIP21553,"4 37 41.4","52 53 29",2000,8.62,K8V,10.10,340,star340
HIP21556,"4 37 41.6","-11  2 23",2000,10.30,M1,11.00,341,star341
HIP21589,"4 38 9.57","12 30 38",2000,4.27,A6V,45.80,342,star342
HIP21594,"4 38 10.7","-14 18 17",2000,3.86,K1III,33.50,343,star343
HIP21673,"4 39 9.25","15 47 58",2000,5.08,A4m,46.50,344,star344
HIP21683,"4 39 16.5","15 55  4",2000,4.67,A5Vn,48.70,345,star345
HIP21770,"4 40 33.5","-41 51 50",2000,4.44,F2V,20.10,346,star346
HIP21818,"4 41 18.5","20 54  1",2000,8.09,K3V,13.40,347,star347
HIP21861,"4 42 3.54","-37  8 36",2000,5.04,F3V,27.60,348,star348
HIP21932,"4 42 56.5","18 57 11",2000,9.95,M2,9.41,349,star349
HIP21988,"4 43 35.5","27 41 10",2000,8.00,K5III,22.30,350,star350
HIP22044,"4 44 25.9","11  8 45",2000,5.39,F0V,48.20,351,star351
HIP22122,"4 45 37.8","-50  4 32",2000,7.58,K0V,20.40,352,star352
HIP22263,"4 47 36.4","-16 56  1",2000,5.49,G3V,13.30,353,star353
HIP22287,"4 48 0.37","56 45 23",2000,5.29,A3m,49.70,354,star354
HIP22288,"4 48 1.22","-10 56  2",2000,9.53,K7V,26.10,355,star355
HIP22361,"4 48 50.5","75 56 26",2000,5.96,A9IV,45.60,356,star356
HIP22449,"4 49 50.9","6 57 40",2000,3.19,F6V,8.02,357,star357
HIP22451,"4 49 52.2","-35  6 29",2000,7.49,K2V,17.90,358,star358
HIP22498,"4 50 25.6","63 19 55",2000,9.99,K7,23.40,359,star359
HIP22531,"4 50 55.1","-53 27 40",2000,5.58,F0IV...,37.00,360,star360
HIP22627,"4 52 5.88","6 28 30",2000,11.90,M4,12.10,361,star361
HIP22715,"4 53 4.90","22 14  4",2000,8.78,K5V,26.90,362,star362
HIP22738,"4 53 31.4","-55 51 35",2000,10.70,M2Ve,11.10,363,star363
HIP22762,"4 53 50.4","-17 46 34",2000,10.90,M3,12.30,364,star364
HIP22787,"4 54 4.37","-35 24 13",2000,7.60,K0V,25.90,365,star365
HIP22844,"4 54 53.2","-58 32 50",2000,6.11,F3V,30.80,366,star366
HIP22845,"4 54 53.7","10  9  0",2000,4.64,A0V,36.90,367,star367
HIP22907,"4 55 42.1","-28 33 53",2000,8.13,K3/K4V,17.90,368,star368
HIP23147,"4 58 50.7","49 50 55",2000,9.80,M2,16.50,369,star369
HIP23179,"4 59 15.4","37 53 23",2000,4.93,A1V,48.70,370,star370
HIP23296,"5  0 39.7","-2  3 57",2000,6.31,A8IV,49.50,371,star371
HIP23309,"5  0 47.1","-57 15 24",2000,10.00,,26.20,372,star372
HIP23311,"5  0 49.5","-5 45 30",2000,6.22,K3V,8.81,373,star373
HIP23437,"5  2 16.9","-56  4 38",2000,7.02,G5V,22.20,374,star374
HIP23452,"5  2 28.2","-21 15 27",2000,8.31,M0V,8.51,375,star375
HIP23482,"5  2 48.6","-49  9  4",2000,5.37,F2V,26.10,376,star376
HIP23497,"5  3 5.82","21 35 23",2000,4.62,A7V,49.90,377,star377
HIP23512,"5  3 19.8","-17 22 31",2000,11.70,K:,9.27,378,star378
HIP23516,"5  3 22.1","-23 14 58",2000,9.28,K5V,26.30,379,star379
HIP23693,"5  5 30.5","-57 28 19",2000,4.71,F7V,11.60,380,star380
HIP23708,"5  5 47.3","-57 33 11",2000,8.98,K7V,11.50,381,star381
HIP23783,"5  6 40.5","51 35 48",2000,4.98,F0V,26.20,382,star382
HIP23786,"5  6 42.5","14 26 42",2000,7.74,K0V,23.90,383,star383
HIP23875,"5  7 50.8","-5  5 12",2000,2.78,A3IIIva,27.20,384,star384
HIP23932,"5  8 35.6","-18 10 41",2000,10.20,M5,9.31,385,star385
HIP23941,"5  8 43.7","-4 27 22",2000,5.11,F2V,25.00,386,star386
GJ191,"5 11 50.4","-45  2 37",2000,8.85,M2.0V,3.91,387,star387
HIP24284,"5 12 42.5","19 40  0",2000,10.80,M5,12.70,388,star388
HIP24332,"5 13 17.2","37 20 12",2000,6.48,F8,25.90,389,star389
HIP24340,"5 13 25.6","38 29  3",2000,4.82,A4m,49.80,390,star390
HIP24454,"5 14 48.3","0 39 35",2000,9.97,K2III,26.20,391,star391
HIP24659,"5 17 29.2","-34 53 48",2000,4.81,K0/K1II,33.70,392,star392
HIP24783,"5 18 47.0","-21 23 38",2000,9.35,K4V,20.20,393,star393
HIP24786,"5 18 50.9","-18  7 47",2000,5.96,G0V,24.90,394,star394
HIP24813,"5 19 9.19","40  5 45",2000,4.69,G0V,12.60,395,star395
HIP24819,"5 19 13.4","-3  4 23",2000,7.77,K3V,16.80,396,star396
HIP24874,"5 19 59.7","-15 50 19",2000,8.72,K3V,24.30,397,star397
HIP25110,"5 22 33.0","79 13 54",2000,5.08,F6V,20.90,398,star398
HIP25119,"5 22 37.5","2 36  9",2000,7.76,K3V,19.90,399,star399
HIP25220,"5 23 38.6","17 19 26",2000,7.93,K2,14.30,400,star400
HIP25278,"5 24 25.7","17 23  0",2000,5.00,"F8V SB",14.60,401,star401
HIP25283,"5 24 30.2","-38 58 11",2000,9.08,K2,17.70,402,star402
HIP25421,"5 26 15.0","-32 30 18",2000,7.70,K2/K3V,17.90,403,star403
HIP25486,"5 27 4.77","-11 54  4",2000,6.30,F7V:,26.80,404,star404
HIP25544,"5 27 39.0","-60 24 59",2000,6.99,G5V,19.50,405,star405
HIP25578,"5 27 59.9","9 38 26",2000,12.40,M5,8.69,406,star406
HIP25623,"5 28 25.7","-3 30 11",2000,7.65,K5V,12.90,407,star407
HIP25647,"5 28 44.9","-65 26 52",2000,6.88,K1III(p,14.90,408,star408
HIP25775,"5 30 14.0","-42 41 52",2000,9.72,M0V,19.30,409,star409
HIP25878,"5 31 28.2","-3 41 11",2000,7.97,M1V,5.69,410,star410
HIP25918,"5 31 53.6","-76 20 22",2000,5.18,K4III,30.80,411,star411
HIP26335,"5 36 30.9","11 19 39",2000,8.78,K7,11.30,412,star412
HIP26366,"5 36 54.4","9 17 21",2000,4.09,G8III-I,35.50,413,star413
HIP26369,"5 36 55.0","-47 57 47",2000,9.84,,24.20,414,star414
HIP26373,"5 36 56.8","-47 57 52",2000,7.95,K0V,23.80,415,star415
HIP26394,"5 37 11.8","-80 27 52",2000,5.65,G3IV,18.20,416,star416
HIP26501,"5 38 9.19","-46  6 29",2000,7.33,G5,25.20,417,star417
HIP26505,"5 38 10.9","51 26 46",2000,7.74,K2V,20.50,418,star418
HIP26563,"5 38 53.0","-7 12 47",2000,4.77,A4V,47.00,419,star419
HIP26624,"5 39 31.1","-3 33 52",2000,5.99,A8Vs,41.30,420,star420
HIP26779,"5 41 20.3","53 28 43",2000,6.21,K1V,12.20,421,star421
HIP26801,"5 41 30.7","53 29 15",2000,9.78,M1,12.40,422,star422
HIP26857,"5 42 11.4","12 28 56",2000,11.50,M5,5.78,423,star423
HIP27072,"5 44 27.4","-22 27  0",2000,3.59,F7V,8.96,424,star424
HIP27075,"5 44 28.3","-20  7 35",2000,6.34,F8/G0V,25.50,425,star425
HIP27080,"5 44 30.9","-70  8 17",2000,8.09,K0V,25.50,426,star426
HIP27100,"5 44 46.3","-65 44  7",2000,4.34,A7V,44.40,427,star427
HIP27188,"5 45 48.9","62 13 59",2000,9.02,M0,13.60,428,star428
HIP27207,"5 46 2.53","37 16 56",2000,7.34,K0V,20.50,429,star429
HIP27288,"5 46 57.3","-14 49 19",2000,3.55,A2Vann,21.50,430,star430
HIP27321,"5 47 17.0","-51  3 58",2000,3.85,A3V,19.20,431,star431
HIP27323,"5 47 18.2","-48 31 35",2000,9.74,M0V,20.70,432,star432
HIP27359,"5 47 41.5","-36 19 44",2000,10.70,M2,14.90,433,star433
HIP27435,"5 48 35.0","-4  5 44",2000,5.97,G4V,15.50,434,star434
HIP27628,"5 50 57.6","-35 45 59",2000,3.12,K1.5III,26.30,435,star435
HIP27654,"5 51 19.5","-20 52 55",2000,3.76,G8III/I,34.40,436,star436
HIP27803,"5 53 0.28","-5 59 46",2000,9.70,M0V,20.10,437,star437
HIP27887,"5 54 4.12","-60  1 25",2000,7.17,K3V,12.80,438,star438
HIP27890,"5 54 6.33","-63  5 13",2000,4.65,K1III/I,27.20,439,star439
HIP27896,"5 54 10.9","-50 21 36",2000,6.53,K1V,34.80,440,star440
HIP27913,"5 54 22.7","20 16 32",2000,4.39,G0V,8.66,441,star441
HIP27918,"5 54 28.6","2  8 21",2000,8.84,K3V,26.60,442,star442
HIP27922,"5 54 30.2","-19 42 16",2000,7.51,G6V,22.70,443,star443
HIP27947,"5 54 50.0","-52 38  3",2000,5.29,F0Ve...,34.90,444,star444
HIP28103,"5 56 24.2","-14 10  1",2000,3.71,F1V,15.00,445,star445
HIP28267,"5 58 21.6","-4 39  5",2000,6.99,G0,23.20,446,star446
HIP28368,"5 59 37.7","58 35 30",2000,10.20,M1,13.50,447,star447
HIP28442,"6  0 19.0","-31  1 27",2000,7.85,K3/K4V,14.90,448,star448
HIP28614,"6  2 23.0","9 38 49",2000,4.12,Am...,46.50,449,star449
HIP28764,"6  4 28.3","-45  2  7",2000,6.35,G0IV-V,26.60,450,star450
HIP28790,"6  4 39.9","-45  4 40",2000,5.93,F4V,27.00,451,star451
HIP28954,"6  6 40.3","15 32 29",2000,6.76,K0,15.40,452,star452
HIP29052,"6  7 43.5","-25 44 44",2000,11.80,,11.40,453,star453
HIP29067,"6  7 55.1","67 58 34",2000,9.75,K8,24.90,454,star454
HIP29271,"6 10 14.9","-74 45 14",2000,5.08,G5V,10.10,455,star455
HIP29277,"6 10 20.2","82  6  2",2000,10.40,M3,9.39,456,star456
HIP29295,"6 10 34.4","-21 52  4",2000,8.15,M1/M2V,5.77,457,star457
HIP29432,"6 12 0.77","6 46 55",2000,6.85,G4V,23.10,458,star458
HIP29525,"6 13 12.5","10 37 32",2000,6.43,G8V,18.10,459,star459
HIP29548,"6 13 35.6","63 23 35",2000,9.67,M0,24.70,460,star460
HIP29568,"6 13 45.2","-23 51 41",2000,6.37,G5V,16.60,461,star461
HIP29650,"6 14 50.7","19  9 20",2000,5.20,F6V,21.10,462,star462
HIP29761,"6 16 2.63","70 46 46",2000,7.43,G5,25.70,463,star463
HIP29800,"6 16 26.7","12 16 22",2000,5.04,F5IV-V,19.60,464,star464
HIP29860,"6 17 15.9","5  6  3",2000,5.70,G0.5Vb,19.30,465,star465
HIP30060,"6 19 37.3","59  0 39",2000,4.44,A2Vs,45.70,466,star466
HIP30112,"6 20 13.0","2 15 30",2000,9.83,K7V,27.90,467,star467
HIP30314,"6 22 30.9","-60 13  6",2000,6.53,G1V,23.40,468,star468
HIP30419,"6 23 46.0","4 35 34",2000,4.39,A5IV,39.30,469,star469
HIP30503,"6 24 43.6","-28 46 50",2000,6.37,G2V,22.00,470,star470
HIP30630,"6 26 10.1","18 45 22",2000,6.78,K0,14.60,471,star471
HIP30756,"6 27 46.0","20 46 58",2000,8.59,G0,18.00,472,star472
GJ234,"6 29 24.1","-2 48 59",2000,11.10,M4.5V,4.09,473,star473
HIP31167,"6 32 23.1","-5 52  8",2000,5.60,F0Vnn+.,43.20,474,star474
HIP31592,"6 36 41.1","-19 15 22",2000,3.95,K1III+.,19.80,475,star475
HIP31635,"6 37 9.92","17 33 58",2000,9.63,M1:,9.84,476,star476
HIP31634,"6 37 11.4","-50  2 17",2000,9.61,K0,15.10,477,star477
HIP31703,"6 37 54.2","73 41 44",2000,6.26,F2,35.50,478,star478
HIP31711,"6 38 0.24","-61 31 59",2000,6.15,G1/G2V,21.60,479,star479
HIP31878,"6 39 49.9","-61 28 40",2000,9.71,M1V,21.90,480,star480
HIP32010,"6 41 15.9","23 57 23",2000,8.08,K2,17.50,481,star481
HIP32322,"6 44 51.9","-27 20 25",2000,6.43,F7V,26.50,482,star482
GJ244,"6 45 8.29","-16 43 17",2000,-1.40,A1V,2.63,483,star483
HIP32366,"6 45 22.6","-31 47 42",2000,5.92,F7V,24.20,484,star484
HIP32423,"6 46 4.48","32 33 22",2000,8.80,K3V,24.90,485,star485
HIP32439,"6 46 13.5","79 33 43",2000,5.44,F8V,17.80,486,star486
HIP32480,"6 46 44.3","43 34 41",2000,5.24,G0V,16.50,487,star487
HIP32617,"6 48 19.0","-1 19  8",2000,5.75,F1V,40.00,488,star488
HIP32765,"6 49 54.6","-46 36 46",2000,5.14,F5III,25.20,489,star489
HIP32769,"6 49 57.5","60 20 14",2000,8.59,M0p,16.40,490,star490
HIP32851,"6 50 49.8","-0 32 30",2000,5.78,F2V,29.80,491,star491
HIP32919,"6 51 31.9","47 21 53",2000,8.95,K2,18.80,492,star492
HIP32984,"6 52 17.4","-5 10 25",2000,6.58,K3V,8.70,493,star493
HIP33142,"6 54 5.31","60 52  2",2000,11.00,M:,10.60,494,star494
HIP33202,"6 54 38.7","13 10 38",2000,4.73,F0Vp,27.90,495,star495
HIP33226,"6 54 48.0","33 15 59",2000,9.89,K:...,5.51,496,star496
HIP33277,"6 55 18.6","25 22 32",2000,5.74,G0V,17.20,497,star497
HIP33302,"6 55 37.4","-20  8 10",2000,4.66,F2IV/V,29.20,498,star498
HIP33373,"6 56 28.2","40  4 20",2000,9.08,K5V,24.00,499,star499
HIP33428,"6 57 4.78","30 45 19",2000,9.68,M0,18.60,500,star500
HIP33478,"6 57 33.7","-24 37 49",2000,5.45,F3V,38.50,501,star501
HIP33499,"6 57 44.9","-44 17 28",2000,10.80,M4+...,8.02,502,star502
HIP33537,"6 58 11.8","22 28 34",2000,6.94,G5V,24.20,503,star503
HIP33560,"6 58 26.1","-12 59 32",2000,9.14,K4V,22.30,504,star504
HIP33690,"6 59 59.2","-61 20  6",2000,6.81,K0IV-V,18.40,505,star505
HIP33817,"7  1 13.9","-25 56 54",2000,6.71,K1V,14.60,506,star506
HIP33852,"7  1 39.4","48 22 36",2000,7.98,K3V,20.40,507,star507
HIP33955,"7  2 42.7","-6 48  2",2000,8.38,K5V,18.70,508,star508
HIP34017,"7  3 30.6","29 20  0",2000,5.93,G4V,19.00,509,star509
HIP34052,"7  3 50.1","-43 33 34",2000,8.67,K5V...,16.90,510,star510
HIP34065,"7  3 57.1","-43 36 22",2000,5.56,G3V...,16.20,511,star511
HIP34069,"7  3 58.7","-43 36 34",2000,6.83,K0V,15.00,512,star512
HIP34104,"7  4 17.5","-10 30 44",2000,10.90,M5,15.30,513,star513
HIP34115,"7  4 26.9","68 17 20",2000,11.90,M5,15.20,514,star514
HIP34341,"7  7 9.31","3 26 46",2000,9.84,M0V,26.70,515,star515
HIP34361,"7  7 23.1","-21 27 30",2000,11.10,M2V:,17.20,516,star516
HIP34414,"7  8 4.04","29 49 59",2000,8.32,G5,22.20,517,star517
HIP34567,"7  9 35.2","25 43 40",2000,7.09,G8V,24.50,518,star518
HIP34782,"7 12 4.03","-30 49 16",2000,6.10,A8III/I,47.50,519,star519
HIP34834,"7 12 33.4","-46 45 31",2000,4.49,F0IV,21.10,520,star520
HIP34890,"7 13 6.46","-63 20 32",2000,9.08,K5V,19.90,521,star521
HIP34950,"7 13 52.6","25  0 39",2000,8.40,K1V,25.10,522,star522
HIP35136,"7 15 50.1","47 14 20",2000,5.54,G0V,16.80,523,star523
HIP35191,"7 16 19.7","27  8 29",2000,10.80,,12.30,524,star524
HIP35296,"7 17 29.5","-46 58 35",2000,6.70,K2V,14.70,525,star525
HIP35350,"7 18 5.53","16 32 24",2000,3.58,A3V...,28.90,526,star526
HIP35550,"7 20 7.35","21 58 56",2000,3.50,F0IV...,18.00,527,star527
HIP35643,"7 21 17.4","45 13 41",2000,5.74,A7s,34.40,528,star528
HIP35821,"7 23 14.7","46  5 10",2000,10.50,M2,16.20,529,star529
HIP35872,"7 23 47.1","12 57 46",2000,8.19,G5,25.00,530,star530
HIP36046,"7 25 43.4","27 47 51",2000,3.78,G9III+.,38.60,531,star531
HIP36121,"7 26 26.6","-15 46 14",2000,9.21,K4V,25.60,532,star532
HIP36152,"7 26 49.8","21 32  7",2000,6.54,F6V,30.80,533,star533
HIP36210,"7 27 24.9","-51 24  9",2000,6.72,G5IV-V,22.50,534,star534
GJ273,"7 27 25.1","5 12 33",2000,9.85,M3.5V,3.75,535,star535
HIP36349,"7 28 51.2","-30 14 50",2000,9.96,M1V:e..,15.50,536,star536
HIP36357,"7 29 1.97","31 59 40",2000,7.73,K2V,17.50,537,star537
HIP36366,"7 29 6.91","31 47  7",2000,4.16,F0V...,18.40,538,star538
HIP36393,"7 29 20.3","28  7  4",2000,5.07,A4V,50.00,539,star539
HIP36399,"7 29 25.6","-7 33  2",2000,5.86,F8V,27.80,540,star540
HIP36439,"7 29 56.1","49 40 19",2000,5.35,F6V,19.90,541,star541
HIP36515,"7 30 42.3","-37 20 20",2000,6.66,G3V,21.70,542,star542
HIP36551,"7 31 7.79","14 36 46",2000,8.94,K5,21.20,543,star543
HIP36627,"7 31 56.9","36 13 43",2000,11.80,M4,11.40,544,star544
HIP36704,"7 33 0.51","37  1 47",2000,7.68,G5,19.60,545,star545
HIP36817,"7 34 18.5","-23 28 25",2000,5.06,F6V,29.00,546,star546
HIP36827,"7 34 26.0","-6 53 48",2000,8.16,K2V,24.80,547,star547
HIP36850,"7 34 35.5","31 53 15",2000,1.58,A2Vm,15.80,548,star548
HIP36915,"7 35 21.6","54 50 59",2000,11.30,M0,13.10,549,star549
HIP36927,"7 35 26.6","-52 26 28",2000,8.78,K3IV-V,25.20,550,star550
HIP36985,"7 36 7.11","-3  6 42",2000,9.87,,14.30,551,star551
HIP37217,"7 38 41.4","-21 13 36",2000,11.60,M2,10.80,552,star552
GJ280,"7 39 17.3","5 13 13",2000,0.37,F5IV,3.50,553,star553
HIP37288,"7 39 22.8","2 10 57",2000,9.66,M0,14.80,554,star554
HIP37349,"7 39 59.4","-3 35 55",2000,7.18,K2V,14.10,555,star555
HIP37494,"7 41 45.0","49 13 19",2000,9.73,K4,26.70,556,star556
HIP37629,"7 43 18.8","28 52 56",2000,4.23,"K1III S",37.40,557,star557
HIP37766,"7 44 39.8","3 33  1",2000,11.10,M4.5Ve,5.93,558,star558
HIP37826,"7 45 18.1","28  1 33",2000,1.16,K0IIIva,10.30,559,star559
HIP37853,"7 45 34.7","-34  9 52",2000,5.36,G0V,15.10,560,star560
HIP38048,"7 47 56.6","-12 11 32",2000,5.48,F5+...,30.20,561,star561
HIP38082,"7 48 18.0","20 21 49",2000,11.40,M2,14.10,562,star562
HIP38117,"7 48 39.3","53 38 46",2000,8.86,K4V,26.20,563,star563
HIP38228,"7 49 55.0","27 21 47",2000,6.90,G5IV,21.80,564,star564
HIP38325,"7 51 5.63","54  7 46",2000,6.03,F6V,30.00,565,star565
HIP38382,"7 51 46.2","-13 53 58",2000,5.16,G2V,16.60,566,star566
HIP38423,"7 52 15.4","-34 42 15",2000,5.01,F3/F5V,18.00,567,star567
HIP38594,"7 54 10.5","-25 18  8",2000,9.75,M,19.50,568,star568
HIP38625,"7 54 33.9","-1 24 45",2000,7.43,G8V,19.20,569,star569
HIP38657,"7 54 54.1","19 14  3",2000,7.76,K2,19.90,570,star570
HIP38712,"7 55 31.4","8 51 44",2000,5.86,F2IV,38.10,571,star571
HIP38784,"7 56 14.2","80 15 57",2000,6.55,G8V,17.00,572,star572
HIP38908,"7 57 48.0","-60 18  9",2000,5.59,G2V...,16.10,573,star573
HIP38910,"7 57 48.6","-33 57  2",2000,8.83,K5V,18.30,574,star574
HIP38931,"7 57 57.6","-0 48 51",2000,8.05,K5V,17.40,575,star575
HIP38939,"7 58 4.80","-25 37 39",2000,8.42,K3V,18.20,576,star576
HIP38956,"7 58 12.9","41 18  2",2000,12.00,M4V,8.16,577,star577
HIP39064,"7 59 34.1","20 50 29",2000,7.68,K0V,23.10,578,star578
HIP39157,"8  0 31.9","29 12 25",2000,6.97,G8V,16.80,579,star579
HIP39342,"8  2 30.7","-66  1 17",2000,7.18,K1V,17.20,580,star580
HIP39494,"8  4 22.9","43 57 41",2000,9.83,M0,25.30,581,star581
HIP39826,"8  8 12.8","21  6 12",2000,9.41,M:,17.10,582,star582
HIP39896,"8  8 56.3","32 49  7",2000,9.90,M0.5V:e,20.70,583,star583
HIP39903,"8  9 0.32","-61 18 13",2000,4.74,F5V,21.30,584,star584
HIP40035,"8 10 39.5","-13 47 56",2000,5.53,F7V,22.40,585,star585
HIP40118,"8 11 38.0","32 27 15",2000,6.78,G4V,21.70,586,star586
HIP40239,"8 13 8.28","-13 55  9",2000,9.38,M0V,21.60,587,star587
HIP40375,"8 14 35.4","13  1 23",2000,8.79,K5,18.30,588,star588
HIP40438,"8 15 25.2","-52  3 38",2000,6.63,G1V,27.00,589,star589
HIP40501,"8 16 7.58","1 18 10",2000,10.00,,9.15,590,star590
HIP40671,"8 18 10.4","30 35 49",2000,8.82,K4V,22.50,591,star591
HIP40693,"8 18 24.2","-12 38 11",2000,5.95,K0V,12.50,592,star592
HIP40702,"8 18 32.0","-76 55  9",2000,4.05,F5III,19.40,593,star593
HIP40706,"8 18 33.1","-36 39 31",2000,4.44,A4m...,28.50,594,star594
HIP40774,"8 19 18.8","1 20 19",2000,8.35,G5,23.30,595,star595
HIP40843,"8 20 3.83","27 12 57",2000,5.13,F6V,18.10,596,star596
HIP40875,"8 20 26.1","57 44 36",2000,5.89,F4V,31.60,597,star597
HIP40910,"8 20 55.2","14  4 12",2000,9.75,M0,23.40,598,star598
HIP41130,"8 23 31.2","21 50 53",2000,9.52,M0,27.00,599,star599
HIP41211,"8 24 34.7","-3 45  4",2000,5.61,F3V,27.20,600,star600
HIP41307,"8 25 39.5","-3 54 23",2000,3.91,A0V,38.30,601,star601
HIP41312,"8 25 44.1","-66  8 15",2000,3.77,K2IIIva,33.10,602,star602
HIP41484,"8 27 36.7","45 39  5",2000,6.32,G5V,21.70,603,star603
GJ1111,"8 29 48.1","26 46 27",2000,14.90,M6.0V,3.62,604,star604
HIP41689,"8 29 57.5","61 43 21",2000,10.20,M0,19.10,605,star605
HIP41926,"8 32 50.1","-31 29 50",2000,6.38,K0V,12.10,606,star606
HIP42074,"8 34 31.4","-0 43 33",2000,7.32,G5,21.70,607,star607
HIP42080,"8 34 36.0","65  8 41",2000,5.47,A2m,48.40,608,star608
HIP42172,"8 35 50.8","6 37 10",2000,5.91,F8V,26.50,609,star609
HIP42173,"8 35 51.1","6 37 19",2000,7.25,G5V,23.40,610,star610
HIP42220,"8 36 22.5","67 17 43",2000,9.28,M2,13.80,611,star611
HIP42333,"8 37 49.9","-6 48 24",2000,6.74,G0,23.60,612,star612
HIP42418,"8 39 0.14","6 57 14",2000,7.90,K0,25.40,613,star613
HIP42438,"8 39 11.6","65  1 16",2000,5.63,G1.5Vb,14.20,614,star614
HIP42499,"8 39 50.6","11 31 13",2000,7.61,K1V,18.50,615,star615
HIP42697,"8 42 7.12","-42 55 47",2000,8.11,K2V,22.30,616,star616
HIP42748,"8 42 44.7","9 33 14",2000,9.62,M0,13.30,617,star617
HIP42762,"8 42 52.4","9 33  1",2000,11.80,M5,15.40,618,star618
HIP42806,"8 43 17.0","21 28  5",2000,4.66,A1IV,48.50,619,star619
HIP42808,"8 43 17.6","-38 52 51",2000,6.58,K2V,11.10,620,star620
HIP42913,"8 44 42.2","-54 42 33",2000,1.93,A1V,24.40,621,star621
HIP42940,"8 45 9.99","41 40  8",2000,8.52,K3V,25.90,622,star622
HIP43233,"8 48 26.3","6 27 59",2000,10.30,M0,25.80,623,star623
HIP43534,"8 52 0.58","66  7 54",2000,9.26,K5,16.40,624,star624
HIP43557,"8 52 16.5","8  3 42",2000,6.57,G0,24.10,625,star625
HIP43587,"8 52 35.2","28 19 47",2000,5.96,G8V,12.50,626,star626
HIP43667,"8 53 47.0","35 13 15",2000,9.27,M0V:,25.80,627,star627
HIP43726,"8 54 17.5","-5 26  3",2000,6.01,G3V,17.00,628,star628
HIP43790,"8 55 7.67","1 32 30",2000,9.99,M1,20.00,629,star629
HIP43797,"8 55 11.8","-54 57 58",2000,5.70,F6V,24.10,630,star630
HIP43852,"8 55 55.6","36 11 46",2000,7.69,G5,26.10,631,star631
HIP43970,"8 57 15.0","15 19 22",2000,5.22,A5III,49.00,632,star632
HIP44001,"8 57 35.2","15 34 52",2000,5.68,F0IV,49.20,633,star633
HIP44072,"8 58 38.9","20 32 45",2000,9.22,M0,20.60,634,star634
HIP44075,"8 58 44.1","-16  7 54",2000,5.80,F7/F8IV,21.30,635,star635
HIP44127,"8 59 11.7","48  2 27",2000,3.12,A7IV,14.60,636,star636
HIP44143,"8 59 23.8","-59  4 56",2000,5.17,F3V,26.10,637,star637
HIP44248,"9  0 37.6","41 46 54",2000,3.96,F5V,16.40,638,star638
HIP44295,"9  1 17.3","15 15 51",2000,8.67,M0V:p..,18.30,639,star639
HIP44382,"9  2 26.7","-66 23 47",2000,4.00,Am,38.10,640,star640
HIP44722,"9  6 45.0","-8 48 21",2000,9.50,M0,14.50,641,star641
HIP44897,"9  8 50.8","33 52 54",2000,5.95,F9V,19.10,642,star642
HIP44901,"9  8 52.0","51 36 16",2000,4.46,Am,29.30,643,star643
HIP44899,"9  8 52.4","-34 50 37",2000,10.30,K7V,22.30,644,star644
HIP44955,"9  9 30.1","32 48 59",2000,9.96,M2,21.10,645,star645
HIP44984,"9  9 46.3","11 33 50",2000,6.48,F2p,37.60,646,star646
HIP45038,"9 10 23.5","67  8  1",2000,4.80,F7IV-V,20.40,647,star647
HIP45075,"9 10 55.2","63 30 48",2000,4.67,Am,37.30,648,star648
HIP45170,"9 12 16.9","14 59 49",2000,6.49,G9V,20.40,649,star649
HIP45343,"9 14 20.0","52 41  2",2000,7.64,M0V,6.18,650,star650
HIP120005,"9 14 21.9","52 41  0",2000,7.70,K2,6.27,651,star651
HIP45336,"9 14 21.9","2 18 46",2000,3.89,B9.5V,39.40,652,star652
HIP45383,"9 14 53.5","4 26 34",2000,7.91,K0,18.40,653,star653
HIP45493,"9 16 11.4","54  1 19",2000,4.80,A5V,36.20,654,star654
HIP45617,"9 17 53.5","28 33 29",2000,7.20,K3V,17.50,655,star655
